#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1281,Big Boulder,15,8,475,2175,1700,55,65,Lake Harmony,18624,41.050424,-75.601026,http://www.jfbb.com/,http://en.wikipedia.org/wiki/Jack_Frost_Ski_Resort,Pennsylvania,USA,North America,FALSE
1282,Liberty Mountain,16,6,620,1190,570,100,31,Carroll Valley,17320,39.7635,-77.375,http://www.libertymountainresort.com/,http://en.wikipedia.org/wiki/Liberty_Mountain_Resort,Pennsylvania,USA,North America,FALSE
1283,Mount Pleasant,9,4,350,1551,1201,25,,Cambridge Springs,16403,41.851087,-80.070384,http://www.skimountpleasant.com/,http://en.wikipedia.org/wiki/Mountain_View_at_Edinboro,Pennsylvania,USA,North America,FALSE
1284,Seven Springs,40,15,750,2994,2240,285,135,Seven Springs,15622,40.023056,-79.292778,http://www.7springs.com/,http://en.wikipedia.org/wiki/Seven_Springs_Mountain_Resort,Pennsylvania,USA,North America,FALSE
1285,Shawnee Mountain,23,10,700,1351,651,125,50,Shawnee on Delaware,18356,41.040833,-75.083333,http://www.shawneemt.com/index.html,http://en.wikipedia.org/wiki/Shawnee_Mountain_Ski_Area,Pennsylvania,USA,North America,FALSE
1286,Ski Big Bear,18,6,650,1200,1200,26,50,Lackawaxen,18435,41.522507,-75.024587,http://www.ski-bigbear.com,http://en.wikipedia.org/wiki/Ski_Big_Bear,Pennsylvania,USA,North America,FALSE
1287,Snö Mountain,30,7,1000,2000,1000,140,160,Scranton,18507,41.348271,-75.663579,http://www.snomtn.com/,http://en.wikipedia.org/wiki/Sn%C3%B6_Mountain,Pennsylvania,USA,North America,FALSE
1288,Tussey Mountain,7,5,500,1819,1319,38,,Boalsburg,16827,40.769216,-77.754226,http://www.tusseymountain.com/,http://en.wikipedia.org/wiki/Tussey_Mountain_Ski_Area,Pennsylvania,USA,North America,FALSE
1289,Whitetail,23,9,935,1800,865,109,40,Mercersburg,17236,39.741667,-77.932778,http://www.skiwhitetail.com/,http://en.wikipedia.org/wiki/Whitetail_Ski_Resort,Pennsylvania,USA,North America,FALSE

# US Southeast
1300,Appalachian Ski Mountain,12,6,365,4000,3635,27,60,Blowing Rock,28605,36.174448,-81.662561,http://www.appskimtn.com/,http://en.wikipedia.org/wiki/Appalachian_Ski_Mountain,North Carolina,USA,North America,FALSE
1301,Cataloochee,16,5,740,5400,4660,50,,Maggie Valley,28751,35.562936,-83.089839,http://cataloochee.com,http://en.wikipedia.org/wiki/Cataloochee_Ski_Area,North Carolina,USA,North America,FALSE
1302,Ski Beech,15,7,830,5506,4675,95,,Beech Mountain,28604,36.197638,-81.878403,http://www.beechmountainresort.com,"http://en.wikipedia.org/wiki/Beech_Mountain,_North_Carolina",North Carolina,USA,North America,FALSE
